transformed_feature,coefficient,raw_feature,abs_coefficient
apache_3j_diagnosis_902.01,-0.013469821804022019,apache_3j_diagnosis,0.013469821804022019
d1_arterial_po2_max,0.013414130242174045,d1_arterial_po2_max,0.013414130242174045
missingindicator_height,0.01332050470511894,height,0.01332050470511894
h1_sysbp_invasive_max,0.013309284792992591,h1_sysbp_invasive_max,0.013309284792992591
apache_3j_diagnosis_602.13,-0.013303023653517959,apache_3j_diagnosis,0.013303023653517959
d1_creatinine_min,0.013229374552704157,d1_creatinine_min,0.013229374552704157
apache_3j_diagnosis_602.12,0.013224951489155425,apache_3j_diagnosis,0.013224951489155425
lymphoma,0.01317950690019849,lymphoma,0.01317950690019849
apache_3j_diagnosis_109.14,-0.013144847409528457,apache_3j_diagnosis,0.013144847409528457
apache_3j_diagnosis_1403.02,-0.013125550894699784,apache_3j_diagnosis,0.013125550894699784
hospital_id_134.0,-0.013099145539567232,hospital_id,0.013099145539567232
icu_id_174.0,-0.013099145539567232,icu_id,0.013099145539567232
apache_3j_diagnosis_501.03,-0.012961750751484891,apache_3j_diagnosis,0.012961750751484891
icu_id_862.0,0.012665438844424993,icu_id,0.012665438844424993
icu_id_366.0,-0.012602999533177905,icu_id,0.012602999533177905
apache_3j_diagnosis_105.02,0.012568703832260188,apache_3j_diagnosis,0.012568703832260188
missingindicator_h1_inr_max,-0.012549173591633747,h1_inr_max,0.012549173591633747
missingindicator_h1_inr_min,-0.012549173591633747,h1_inr_min,0.012549173591633747
missingindicator_d1_inr_max,-0.012549173591633747,d1_inr_max,0.012549173591633747
missingindicator_d1_inr_min,-0.012549173591633747,d1_inr_min,0.012549173591633747
missingindicator_d1_temp_min,0.012494203804322776,d1_temp_min,0.012494203804322776
missingindicator_d1_temp_max,0.012494203804322776,d1_temp_max,0.012494203804322776
apache_3j_diagnosis_102.02,-0.012460060020653278,apache_3j_diagnosis,0.012460060020653278
hospital_id_129.0,-0.012308611172001082,hospital_id,0.012308611172001082
icu_id_135.0,-0.012308611172001082,icu_id,0.012308611172001082
missingindicator_d1_wbc_max,-0.012247884152501543,d1_wbc_max,0.012247884152501543
missingindicator_d1_wbc_min,-0.012247884152501543,d1_wbc_min,0.012247884152501543
hospital_id_66.0,-0.012233289578832423,hospital_id,0.012233289578832423
icu_id_922.0,-0.012233289578832423,icu_id,0.012233289578832423
missingindicator_d1_lactate_min,-0.012195894856758312,d1_lactate_min,0.012195894856758312
missingindicator_d1_lactate_max,-0.012195894856758312,d1_lactate_max,0.012195894856758312
apache_3j_diagnosis_1208.04,-0.012132714784807954,apache_3j_diagnosis,0.012132714784807954
apache_3j_diagnosis_1203.02,-0.012062757401918608,apache_3j_diagnosis,0.012062757401918608
apache_3j_diagnosis_109.12,-0.012035095571862697,apache_3j_diagnosis,0.012035095571862697
icu_id_158.0,-0.011975962242751577,icu_id,0.011975962242751577
hospital_id_124.0,-0.011975962242751577,hospital_id,0.011975962242751577
missingindicator_h1_glucose_min,-0.011942872629206921,h1_glucose_min,0.011942872629206921
missingindicator_h1_glucose_max,-0.011942872629206921,h1_glucose_max,0.011942872629206921
d1_pao2fio2ratio_max,-0.011907203719393404,d1_pao2fio2ratio_max,0.011907203719393404
apache_3j_diagnosis_1302.01,-0.011839819738336694,apache_3j_diagnosis,0.011839819738336694
apache_3j_bodysystem_Respiratory,0.01176989146819205,apache_3j_bodysystem,0.01176989146819205
apache_2_bodysystem_Respiratory,0.01176989146819205,apache_2_bodysystem,0.01176989146819205
hospital_id_84.0,-0.011728041492369288,hospital_id,0.011728041492369288
h1_spo2_max,-0.011673045143430072,h1_spo2_max,0.011673045143430072
missingindicator_h1_mbp_max,0.011671013973662728,h1_mbp_max,0.011671013973662728
missingindicator_h1_mbp_min,0.011671013973662728,h1_mbp_min,0.011671013973662728
missingindicator_h1_sodium_max,-0.011655934051153295,h1_sodium_max,0.011655934051153295
missingindicator_h1_sodium_min,-0.011655934051153295,h1_sodium_min,0.011655934051153295
d1_arterial_ph_min,0.011630378582717019,d1_arterial_ph_min,0.011630378582717019
apache_3j_diagnosis_901.06,-0.011595782974443468,apache_3j_diagnosis,0.011595782974443468
icu_id_212.0,0.011584736010605567,icu_id,0.011584736010605567
icu_id_641.0,-0.011581265801889855,icu_id,0.011581265801889855
hospital_id_9.0,-0.011581265801889855,hospital_id,0.011581265801889855
apache_3j_diagnosis_1208.1,-0.01132706095742484,apache_3j_diagnosis,0.01132706095742484
icu_id_780.0,0.011277008865673063,icu_id,0.011277008865673063
icu_id_915.0,-0.0112419358175419,icu_id,0.0112419358175419
apache_2_diagnosis_108.0,-0.011208519297384782,apache_2_diagnosis,0.011208519297384782
apache_3j_diagnosis_203.01,-0.011208519297384782,apache_3j_diagnosis,0.011208519297384782
apache_3j_diagnosis_602.02,-0.011087897598311653,apache_3j_diagnosis,0.011087897598311653
hospital_admit_source_Chest Pain Center,-0.010892877386821273,hospital_admit_source,0.010892877386821273
apache_3j_diagnosis_602.08,0.010891656087524682,apache_3j_diagnosis,0.010891656087524682
missingindicator_h1_heartrate_max,-0.010849587858081058,h1_heartrate_max,0.010849587858081058
missingindicator_h1_heartrate_min,-0.010849587858081058,h1_heartrate_min,0.010849587858081058
